,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
end_time,2023-07-09 18:16:03,2023-07-10 08:46:53,2023-07-10 19:30:03,2023-07-10 23:15:42,2023-07-11 01:43:54,2023-07-11 05:47:34,2023-07-11 14:03:12,2023-07-11 17:33:25,2023-07-11 23:07:43,2023-07-12 17:34:58,2023-07-13 20:45:00,2023-07-15 16:00:08,2023-07-17 19:47:14,2023-07-18 14:32:03,2023-07-18 22:46:47,2023-07-20 18:15:15,2023-07-21 00:22:56,2023-07-21 21:14:41,2023-07-24 21:08:02,2023-07-26 17:36:05,2023-08-01 18:10:00,2023-08-04 16:37:58,2023-08-17 22:21:33,2023-10-05 20:13:06,2023-12-18 22:02:18
Northwestern,100.0,100.0,100.0,99.99999403953552,100.00001192092896,100.0,99.99999403953552,99.99999403953552,100.0,100.0,100.0,100.0,99.99999403953552,100.0,100.00001192092896,99.99999403953552,100.0,100.0,100.0,100.0,100.0,99.99999403953552,100.0,99.99999403953552,100.0
football,12.934663891792297,84.63373184204102,66.0459816455841,83.44403505325317,86.99724078178406,86.28404140472412,84.86917614936829,83.61594080924988,71.31338715553284,62.15870976448059,75.16692280769348,90.90650677680969,29.37527894973755,52.24052667617798,93.13955903053284,69.05844211578369,0.7261003367602825,17.500288784503937,68.67954134941101,84.65269804000854,63.43981623649597,79.2233943939209,60.43240427970886,74.1774320602417,77.40073800086975
hazing,12.85344660282135,80.95766305923462,66.44406318664551,79.48718070983887,86.55545115470886,83.46753716468811,87.18104958534241,78.88172268867493,66.85194969177246,55.29681444168091,75.30601620674133,92.58646368980408,44.6373850107193,33.713358640670776,92.53060817718506,64.34828639030457,-3.3972226083278656,13.72915506362915,66.27466082572937,79.58075404167175,69.96391415596008,79.25870418548584,61.7189884185791,75.67522525787354,69.92100477218628
coach,2.0537976175546646,70.9938645362854,57.74597525596619,68.2457983493805,84.71607565879822,81.40071630477905,73.1560230255127,74.20132756233215,63.85512948036194,50.915515422821045,56.339532136917114,91.73808097839355,38.66525590419769,42.469510436058044,85.52972078323364,56.24452829360962,-1.318400725722313,9.593292325735092,58.67098569869995,59.89096164703369,48.82920980453491,55.8660626411438,48.94191324710846,56.35550618171692,64.1436219215393
fired,,,,72.61682748794556,79.16015982627869,70.29799222946167,78.00140976905823,78.55468392372131,59.67876315116882,52.342355251312256,56.51286244392395,86.56220436096191,41.856637597084045,,63.15883994102478,25.42623281478882,,,40.044474601745605,,20.678070187568665,,49.84697103500366,61.41270995140076,56.61479830741882
widespread,,,,,,32.21563100814819,47.44112491607666,43.6979204416275,19.87922489643097,,,,,,,19.240497052669525,,,,,,,,,23.460102081298828
sexual,11.660756170749664,28.716430068016052,47.01988101005554,58.38809013366699,,56.20771646499634,54.533445835113525,53.60602140426636,,38.245150446891785,38.28006088733673,65.2636170387268,33.763083815574646,,72.57547378540039,61.101025342941284,,19.677191972732544,26.323866844177246,44.24518942832947,17.938177287578583,68.06796789169312,,,35.49146056175232
racism,,,43.184685707092285,54.135191440582275,59.6398651599884,30.019965767860413,58.316028118133545,27.28939950466156,21.98091894388199,55.115699768066406,40.63642919063568,,33.13623368740082,,,42.41968095302582,,,,,,55.33308982849121,26.657047867774963,50.24968981742859,56.00549578666687
like,,,35.14892756938934,44.01609003543854,61.576586961746216,,,,,27.063879370689392,44.466519355773926,69.94315981864929,,,,45.10054290294647,,,38.78960311412811,,,,20.068825781345367,11.700236052274704,33.05521905422211
4,,,,,,,,,,,,,,,,39.26324248313904,,,,,,,,,34.05190408229828
win,,,,,,,,,,,,,,,,,,,,,,,,47.10654616355896,34.04930830001831
new,-10.688689351081848,,20.19212543964386,62.55617141723633,50.794923305511475,61.23694181442261,40.9983366727829,45.26208937168121,,2.5069359689950943,47.153523564338684,,,,68.98611783981323,,,,44.808170199394226,65.30022621154785,28.810322284698486,69.8358416557312,,44.90353167057037,18.892227113246918
college,,42.88928210735321,4.373519867658615,47.81998693943024,,48.92385005950928,42.30673909187317,43.17731559276581,27.789244055747986,26.861876249313354,43.1189090013504,70.30274271965027,1.4015890657901764,,,,,,,36.142498254776,30.01352846622467,37.250542640686035,23.650947213172913,46.30454778671265,32.166776061058044
take,,,,,,,,,33.26692879199982,,,,,,,,,,40.205737948417664,,,,24.439196288585663,,37.58416771888733
look,,,,,,,,,,,45.66102921962738,68.56403350830078,,,,,,,28.964152932167053,,,,,,40.00321924686432
around,,44.17778253555298,,38.9812171459198,,,,,,,,,,,,,,,,,,,,,28.93429398536682
amid,,64.24638032913208,39.63385820388794,61.87570095062256,79.99351024627686,73.33151698112488,72.34328985214233,71.49287462234497,53.009235858917236,31.660175323486328,42.25047826766968,80.85857033729553,25.83491802215576,,54.19692397117615,28.465113043785095,,,,73.06651473045349,26.244837045669556,54.2885422706604,35.425788164138794,33.32529067993164,40.12953042984009
scandal,4.785067588090897,40.300896763801575,36.23626232147217,66.00500345230103,80.49001693725586,47.391316294670105,77.66789197921753,72.09493517875671,59.10699963569641,38.41428458690643,66.29173755645752,88.19199800491333,29.968377947807312,48.88643026351929,88.95496129989624,43.55853497982025,,14.404547214508057,59.659790992736816,70.02707719802856,52.922987937927246,61.502814292907715,47.85026013851166,61.25885844230652,65.19737243652344
david,,,,,,,,,,,,,,,,,,,,51.953715085983276,61.618274450302124,,32.155999541282654,,32.0687472820282
braun,,,,,,,,,,,,,,,,,,,,50.23540258407593,48.246997594833374,,10.460755974054337,,23.48511517047882
