interval,football,baseball,volleyball,hazing,scandal,fire,lawsuit,coach,allegation
2023-07-06 00:00:00+00:00,96.59540775930324,2.137767220902613,0.0,92.55740300870943,24.228028503562946,1.187648456057007,0.0791765637371338,53.285827395091054,0.23752969121140144
2023-07-13 00:00:00+00:00,96.91943127962085,17.061611374407583,0.7109004739336493,94.7867298578199,52.13270142180095,0.7109004739336493,13.744075829383887,42.41706161137441,0.23696682464454977
2023-07-20 00:00:00+00:00,78.70967741935485,4.516129032258064,26.021505376344084,96.12903225806451,36.55913978494624,3.225806451612903,28.172043010752688,19.78494623655914,0.0
2023-07-27 00:00:00+00:00,91.54929577464789,0.7042253521126761,11.971830985915492,98.59154929577466,30.985915492957744,1.4084507042253522,19.014084507042252,21.830985915492956,1.4084507042253522
2023-08-03 00:00:00+00:00,98.76543209876543,0.0,0.0,91.35802469135803,29.629629629629626,0.0,17.28395061728395,11.11111111111111,0.0
2023-08-10 00:00:00+00:00,91.37931034482759,8.620689655172415,0.0,93.10344827586206,43.103448275862064,1.7241379310344827,3.4482758620689653,32.758620689655174,0.0
2023-08-17 00:00:00+00:00,93.54838709677419,3.225806451612903,0.0,83.87096774193549,25.806451612903224,0.0,0.0,29.03225806451613,0.0
2023-08-24 00:00:00+00:00,100.0,0.0,0.0,100.0,66.66666666666666,0.0,0.0,0.0,0.0
2023-08-31 00:00:00+00:00,100.0,3.8461538461538463,0.0,76.92307692307693,50.0,0.0,0.0,3.8461538461538463,0.0
2023-09-07 00:00:00+00:00,88.88888888888889,0.0,0.0,66.66666666666666,44.44444444444444,0.0,11.11111111111111,11.11111111111111,0.0
2023-09-14 00:00:00+00:00,100.0,20.0,0.0,100.0,40.0,0.0,0.0,40.0,0.0
2023-09-21 00:00:00+00:00,100.0,0.0,0.0,83.33333333333334,16.666666666666664,0.0,0.0,33.33333333333333,0.0
2023-09-28 00:00:00+00:00,100.0,0.0,0.0,80.0,20.0,20.0,20.0,40.0,0.0
2023-10-05 00:00:00+00:00,98.36065573770492,0.0,0.0,98.36065573770492,57.377049180327866,1.639344262295082,8.19672131147541,75.40983606557377,0.0
2023-10-12 00:00:00+00:00,100.0,0.0,0.0,80.0,40.0,0.0,0.0,20.0,0.0
2023-10-19 00:00:00+00:00,100.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0
2023-10-26 00:00:00+00:00,100.0,0.0,0.0,80.0,60.0,0.0,0.0,0.0,0.0
2023-11-02 00:00:00+00:00,100.0,0.0,0.0,92.0,32.0,0.0,0.0,4.0,0.0
2023-11-09 00:00:00+00:00,100.0,0.0,0.0,77.77777777777779,55.55555555555556,0.0,11.11111111111111,55.55555555555556,0.0
2023-11-16 00:00:00+00:00,100.0,0.0,0.0,57.14285714285714,42.857142857142854,0.0,0.0,28.57142857142857,0.0
2023-11-23 00:00:00+00:00,100.0,0.0,0.0,50.0,100.0,0.0,0.0,66.66666666666666,0.0
2023-12-14 00:00:00+00:00,100.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0
