interval,football,baseball,volleyball
2023-07-06 00:00:00+00:00,23.119556611243073,1.187648456057007,0.0
2023-07-13 00:00:00+00:00,50.23696682464455,13.507109004739338,0.47393364928909953
2023-07-20 00:00:00+00:00,29.462365591397848,1.5053763440860215,8.817204301075268
2023-07-27 00:00:00+00:00,30.28169014084507,0.7042253521126761,2.8169014084507045
2023-08-03 00:00:00+00:00,29.629629629629626,0.0,0.0
2023-08-10 00:00:00+00:00,41.37931034482759,1.7241379310344827,0.0
2023-08-17 00:00:00+00:00,25.806451612903224,3.225806451612903,0.0
2023-08-24 00:00:00+00:00,66.66666666666666,0.0,0.0
2023-08-31 00:00:00+00:00,50.0,0.0,0.0
2023-09-07 00:00:00+00:00,44.44444444444444,0.0,0.0
2023-09-14 00:00:00+00:00,40.0,20.0,0.0
2023-09-21 00:00:00+00:00,16.666666666666664,0.0,0.0
2023-09-28 00:00:00+00:00,20.0,0.0,0.0
2023-10-05 00:00:00+00:00,57.377049180327866,0.0,0.0
2023-10-12 00:00:00+00:00,40.0,0.0,0.0
2023-10-19 00:00:00+00:00,50.0,0.0,0.0
2023-10-26 00:00:00+00:00,60.0,0.0,0.0
2023-11-02 00:00:00+00:00,32.0,0.0,0.0
2023-11-09 00:00:00+00:00,55.55555555555556,0.0,0.0
2023-11-16 00:00:00+00:00,42.857142857142854,0.0,0.0
2023-11-23 00:00:00+00:00,100.0,0.0,0.0
2023-12-14 00:00:00+00:00,0.0,0.0,0.0
