Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
News247Planet,@News_247_Planet,2023-09-14T10:33:36.000Z,False,#Baseball #Baseball #NorthwesternNorthwestern baseball coach Jim Foster is fired days after soccer hazing scandal ...https://news247planet.com/northwestern-baseball-coach-jim-foster-is-fired-days-after-football-hazing-scandal/?feed_id=136338&_unique_id=6502e1806deab… https://news247planet.com/northwestern-baseball-coach-jim-foster-is-fired-days-after-football-hazing-scandal/?feed_id=136338&_unique_id=6502e1806deab…,0,0,0,79,"['#Baseball', '#Baseball', '#Northwestern']",[],[],https://pbs.twimg.com/profile_images/1700891224763240448/qY_L3Q2q_x96.png,https://twitter.com/News_247_Planet/status/1702269359698419936,tweet_id:1702269359698419936
Millennial Conservative,@Milennial_con,2023-08-15T19:41:49.000Z,True,"Northwestern University hit with suit accusing baseball coach of bullying, latest in series of hazing lawsuits  https://ift.tt/mCfIDje https://ift.tt/snjakUW #TheMillennialPress",0,1,1,824,['#TheMillennialPress'],[],[],https://pbs.twimg.com/profile_images/1721221246979878912/6yNGzRsb_x96.jpg,https://twitter.com/Milennial_con/status/1691535684413116416,tweet_id:1691535684413116416
Abu Huraira,@AbuHuraira25973,2023-08-15T18:36:23.000Z,False,"Northwestern University hit with suit accusing baseball coach of bullying, latest in series of hazing lawsuitshttps://a.newsgeeks.xyz/index.php/2023/08/15/northwestern-university-hit-suit-accusing-baseball-coach-bullying-latest-series-hazing-lawsuits/?feed_id=119513&_unique_id=64dbc5a78dd0c…",0,0,0,78,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_x96.png,https://twitter.com/AbuHuraira25973/status/1691519220800978944,tweet_id:1691519220800978944
News Menia,@PinterestVideo5,2023-08-15T18:33:45.000Z,False,"Northwestern University hit with suit accusing baseball coach of bullying, latest in series of hazing lawsuitshttps://youtubedownloader.click/northwestern-university-hit-with-suit-accusing-baseball-coach-of-bullying-latest-in-series-of-hazing-lawsuits/?feed_id=12255&_unique_id=64dbc508f2242…",0,0,0,23,[],[],[],https://pbs.twimg.com/profile_images/1599716787884548099/GHrs2kWu_x96.png,https://twitter.com/PinterestVideo5/status/1691518555584417792,tweet_id:1691518555584417792
Record and Landmark,@statesville,2023-08-14T22:25:03.000Z,False,"Three former Northwestern baseball staffers filed a lawsuit against the university alleging their contracts were discontinued as retaliation for reporting misconduct in the program. Northwestern now faces more than a dozen lawsuits for hazing, racism an...",0,0,0,134,[],[],[],https://pbs.twimg.com/profile_images/181378389/RandL_x96.gif,https://twitter.com/statesville/status/1691214377259499521,tweet_id:1691214377259499521
PatrickHenryQuigley,@PatrickHenryQ,2023-08-14T16:24:50.000Z,False,"Northwestern hazing scandal: Northwestern baseball director, assistant coaches to sue university, former head coach Jim Foster - ABC7 Chicago",0,1,2,1.6K,[],[],[],https://pbs.twimg.com/profile_images/1247761116496683011/y0_0GJj6_x96.jpg,https://twitter.com/PatrickHenryQ/status/1691123724265684992,tweet_id:1691123724265684992
Major Madness,@low_madness,2023-07-25T22:46:06.000Z,False,"The Chicago Tribune completely blowing the hazing story, the baseball story, the cheerleading story but then trying to dunk on Northwestern for hiring a guy who made some weird comments in a book he wrote 8yrs is journalistic malpractice at the highest level.",0,2,2,3.8K,[],[],[],https://pbs.twimg.com/profile_images/1677857185152352256/d8IwDN_i_x96.jpg,https://twitter.com/low_madness/status/1683971916422430720,tweet_id:1683971916422430720
A_Truth_Seeker,@cassandrawest85,2023-07-20T01:54:54.000Z,False,"More on Northwestern: hazing accusers now include former softball, baseball players, attorneys say",0,0,1,461,[],[],[],https://pbs.twimg.com/profile_images/1685086246224162816/pKCHbZUq_x96.jpg,https://twitter.com/cassandrawest85/status/1681845103982260224,tweet_id:1681845103982260224
Millennial Conservative,@Milennial_con,2023-08-15T19:41:49.000Z,True,"Northwestern University hit with suit accusing baseball coach of bullying, latest in series of hazing lawsuits  https://ift.tt/mCfIDje https://ift.tt/snjakUW #TheMillennialPress",0,1,1,824,['#TheMillennialPress'],[],[],https://pbs.twimg.com/profile_images/1721221246979878912/6yNGzRsb_x96.jpg,https://twitter.com/Milennial_con/status/1691535684413116416,tweet_id:1691535684413116416
News247Planet,@News_247_Planet,2023-09-14T10:33:36.000Z,False,#Baseball #Baseball #NorthwesternNorthwestern baseball coach Jim Foster is fired days after soccer hazing scandal ...https://news247planet.com/northwestern-baseball-coach-jim-foster-is-fired-days-after-football-hazing-scandal/?feed_id=136338&_unique_id=6502e1806deab… https://news247planet.com/northwestern-baseball-coach-jim-foster-is-fired-days-after-football-hazing-scandal/?feed_id=136338&_unique_id=6502e1806deab…,0,0,0,79,"['#Baseball', '#Baseball', '#Northwestern']",[],[],https://pbs.twimg.com/profile_images/1700891224763240448/qY_L3Q2q_x96.png,https://twitter.com/News_247_Planet/status/1702269359698419936,tweet_id:1702269359698419936
