Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Birds of Prey,@IowaBoP,2023-09-10T19:47:40.000Z,True,"Scandals/Allegations in the Big Ten since JulyNorthwestern- HazingNebraska- No food for volleyballMinnesota- Weird culture stuff
Michigan State- Unwanted phone sex

Crazy couple of months. Who’s next?",10,0,31,5.2K,[],[],[],https://pbs.twimg.com/profile_images/1726973882702192640/vmni2QAI_x96.jpg,https://twitter.com/IowaBoP/status/1700959241517908106,tweet_id:1700959241517908106
J. Samuels,@MissSportsBiz,2023-08-02T18:33:44.000Z,False,"https://espn.com/college-sports/story/_/id/38110743/northwestern-volleyball-coach-attend-media-days-wake-suit… 
""Northwestern opened a hazing investigation, and a university  spokesman told ESPN that the school 'confirmed that hazing had taken  place.'""#SportsBiz #Northwestern #Hazing #Volleyball",0,0,0,118,"['#SportsBiz', '#Northwestern', '#Hazing', '#Volleyball']",[],[],https://pbs.twimg.com/profile_images/1568321648603893760/I9oK2zKp_x96.jpg,https://twitter.com/MissSportsBiz/status/1686807510093533184,tweet_id:1686807510093533184
Megan Goldish,@MeganGoldish,2023-08-02T00:05:05.000Z,False,Northwestern assistant volleyball coach and players stick up for their program despite hazing allegations,0,0,0,27,[],[],[],https://pbs.twimg.com/profile_images/1314692048138563584/NOEfh5Yz_x96.jpg,https://twitter.com/MeganGoldish/status/1686528507797716992,tweet_id:1686528507797716992
Chicago Tribune,@chicagotribune,2023-08-01T23:10:08.000Z,False,"In the temporary absence of Northwestern University’s head volleyball coach on Tuesday, an assistant coach and two players talked about how the team is moving forward after recent allegations of hazing in the program.",1,8,10,7.7K,[],[],[],https://pbs.twimg.com/profile_images/1542900856110055426/65co59gz_x96.jpg,https://twitter.com/chicagotribune/status/1686514682855579648,tweet_id:1686514682855579648
Chicago Breaking News,@ChicagoBreaking,2023-08-01T22:26:01.000Z,False,Northwestern assistant volleyball coach and players stick up for their program despite hazing allegations,1,1,1,2.6K,[],[],[],https://pbs.twimg.com/profile_images/1283891088487587840/uAT3yCoa_x96.jpg,https://twitter.com/ChicagoBreaking/status/1686503576992956418,tweet_id:1686503576992956418
NIL vs NLI,@NILvsNLI,2023-08-01T22:02:30.000Z,False,"Northwestern University Athletics Hazing Scandal Update:Northwestern Volleyball Head Coach Shane Davis, named last week in a lawsuit by a former player over hazing allegations, won't attend Big Ten Conference Volleyball media days (via )",0,0,0,156,[],['@ESPNRittenberg'],[],https://pbs.twimg.com/profile_images/1680954083031785472/zZbR4fbg_x96.jpg,https://twitter.com/NILvsNLI/status/1686497660088483847,tweet_id:1686497660088483847
Lincoln Arneal,@Lincoln_VB,2023-08-01T18:35:24.000Z,False,First question at the B1G Volleyball media days is to Northwestern about the hazing allegations. Assistant coach Pedro Mendes said he wasn’t part of the program when those allegations took place so he can’t speak to it.,2,2,24,8K,[],[],[],https://pbs.twimg.com/profile_images/1166202354582077440/pnYFS94S_x96.jpg,https://twitter.com/Lincoln_VB/status/1686445543210340353,tweet_id:1686445543210340353
Jacob Padilla,@JacobPadilla_,2023-08-01T18:34:54.000Z,False,"The second annual Big Ten Volleyball Media Days just began. Northwestern is up first.

Head coach Shane Davis is not here in the wake of the hazing allegations within the VB program; assistant Pedro Mendes is here in his place.#B1GFirstServe",1,3,5,2.4K,['#B1GFirstServe'],[],[],https://pbs.twimg.com/profile_images/1111022780198387713/x1vTYcAe_x96.png,https://twitter.com/JacobPadilla_/status/1686445416496132096,tweet_id:1686445416496132096
SportsNight,@NNNSports,2023-08-01T18:07:39.000Z,False,Northwestern volleyball is preparing to publicly speak for the first time since details of program hazing were revealed earlier in the month. A notable absence today... Head Coach Shane Davis has more on what's to come today. Wildcats set to speak at 1:25 CT,1,2,11,2.5K,[],['@MichaelBarth0'],[],https://pbs.twimg.com/profile_images/1726447782167285760/iCwNt3lR_x96.jpg,https://twitter.com/NNNSports/status/1686438558049980435,tweet_id:1686438558049980435
Andy Moore,@ForMooreSports,2023-08-01T01:11:54.000Z,False,Northwestern volleyball coach Shane Davis won't attend media days in wake of suit by former player over hazing allegations  http://espn.com/app,0,0,0,163,[],[],[],https://pbs.twimg.com/profile_images/1463801925196034048/yVfsqI8q_x96.jpg,https://twitter.com/ForMooreSports/status/1686182935458705410,tweet_id:1686182935458705410
Guarn Sims,@gsims06,2023-07-29T00:00:07.000Z,False,A former Northwestern volleyball player is suing the university over alleged hazing,0,0,0,76,[],[],[],https://pbs.twimg.com/profile_images/1244794932495343617/Mfh8WTXC_x96.jpg,https://twitter.com/gsims06/status/1685077709775679493,tweet_id:1685077709775679493
