Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
IAP Radio,@inapickpod,2023-07-18T23:33:43.000Z,False,"A former Northwestern football player filed the first lawsuit against Pat Fitzgerald and members of the school's leadership, seeking damages stemming from a hazing scandal that cost the former football coach his job.",0,0,0,130,[],[],[],https://pbs.twimg.com/profile_images/1645398719066513410/DqA_JHRe_x96.jpg,https://twitter.com/inapickpod/status/1681447185244729345,tweet_id:1681447185244729345
Maximum News 24,@FloLake,2023-07-18T23:18:43.000Z,False,"Northwestern football team used hazing rituals involving naked human 'carwashes,' lawsuit says https://nbcnews.com/news/us-news/northwestern-football-team-used-hazing-rituals-involving-shrek-claps-n-rcna94907… via ",0,0,0,83,[],['@nbcnews'],[],https://pbs.twimg.com/profile_images/1693073526863826945/4ETiUyar_x96.jpg,https://twitter.com/FloLake/status/1681443411218534400,tweet_id:1681443411218534400
BarbaraDelorisWalker,@BarbaraDeloris,2023-07-18T23:12:01.000Z,True,"‘Degrading, dehumanizing, embarrassing:’ former Northwestern football player first to open up about alleged hazing ahead of planned lawsuit - Chicago Tribune ",0,0,0,95,[],[],['\\U0001f622'],https://pbs.twimg.com/profile_images/1381980985231872009/e407H9di_x96.jpg,https://twitter.com/BarbaraDeloris/status/1681441723354959873,tweet_id:1681441723354959873
The Morning Hustle,@MorningHustleAM,2023-07-18T23:07:54.000Z,False,"Former Northwestern University Football Players Lawyer Up After Alleged Sex Abuse, Racist Hazing",0,0,0,101,[],[],[],https://pbs.twimg.com/profile_images/1477965171633049601/Dj-uFy0f_x96.jpg,https://twitter.com/MorningHustleAM/status/1681440689219837952,tweet_id:1681440689219837952
Steve Greenberg,@SLGreenberg,2023-07-18T22:59:39.000Z,False,comes close to contradicting the conclusions of the months-long investigation led by Attorney Maggie Hickey—that Coach Fitzgerald had no knowledge whatsoever of any form of hazing within the Northwestern Football Program. (4/4),0,2,3,1K,[],[],[],https://pbs.twimg.com/profile_images/1665598055377190913/QmwD9j-Y_x96.jpg,https://twitter.com/SLGreenberg/status/1681438613417132044,tweet_id:1681438613417132044
Sheldon,@CinShel,2023-07-18T22:51:00.000Z,False,"Northwestern football team used hazing rituals involving naked human 'carwashes,' lawsuit says https://nbcnews.com/news/us-news/northwestern-football-team-used-hazing-rituals-involving-shrek-claps-n-rcna94907… via ",0,0,0,68,[],['@nbcnews'],[],https://pbs.twimg.com/profile_images/3481813157/45b0233084949aee09bdf00e5e7f1d1a_x96.jpeg,https://twitter.com/CinShel/status/1681436437764354049,tweet_id:1681436437764354049
ScottPalmer,@ScottPalmer61,2023-07-18T22:46:47.000Z,False,"""Northwestern said its investigation found hazing ""included forced  participation, nudity and sexualized acts of a degrading nature.."" I don't know. I was in many football locker rooms and can't imagine  ""nudity and sexualized acts of a degrading nature.."" Times do change.",1,0,3,182,[],[],[],https://pbs.twimg.com/profile_images/1725231313257418752/fM1nvJTV_x96.jpg,https://twitter.com/ScottPalmer61/status/1681435372520189953,tweet_id:1681435372520189953
Black Enterprise,@blackenterprise,2023-07-18T22:09:24.000Z,False,Eight former Northwestern University football players have retained Ben Crump to pursue legal action for hazing incidents,1,10,8,1.7K,[],[],[],https://pbs.twimg.com/profile_images/1239629447768289283/bzT5idvV_x96.jpg,https://twitter.com/blackenterprise/status/1681425967057895425,tweet_id:1681425967057895425
Jay Clemons,@ByJayClemons,2023-07-18T22:05:33.000Z,False,"That's quite the NARROW allegation from the #Northwestern football players, claiming former coach Pat Fitzgerald ""took part"" and willfully knew about the hazing allegations going on within the program.",0,0,0,303,['#Northwestern'],[],[],https://pbs.twimg.com/profile_images/779054950554927106/yeRZ3tkW_x96.jpg,https://twitter.com/ByJayClemons/status/1681424999431696384,tweet_id:1681424999431696384
Jay Innis Murray,@DepartureJay,2023-07-18T21:54:33.000Z,False,It’s always the worst people put into positions to abuse power. This is from the Northwestern football hazing story.,0,0,2,331,[],[],[],https://pbs.twimg.com/profile_images/1551635855357493249/8bgE6VRU_x96.jpg,https://twitter.com/DepartureJay/status/1681422230994173952,tweet_id:1681422230994173952
No Comps,@NewBlackMan,2023-07-18T21:49:16.000Z,True,"‘Degrading,  dehumanizing, embarrassing:’ former Northwestern football player first  to open up about alleged hazing ahead of planned lawsuit",0,2,2,954,[],[],[],https://pbs.twimg.com/profile_images/1579892479221972993/0RtzJmMg_x96.jpg,https://twitter.com/NewBlackMan/status/1681420898664869890,tweet_id:1681420898664869890
Raymond Norman,@Raymond_Norman,2023-07-18T21:48:22.000Z,False,https://sports.yahoo.com/former-northwestern-football-player-sues-school-pat-fitzgerald-amid-hazing-scandal-162542040.html…The former player was a member of the Northwestern football team from 2018-22 and claims to have been subjected to “sexualized hazing and physical abuse.”,0,0,0,15,[],[],[],https://pbs.twimg.com/profile_images/735148166769709062/3LtWGm5r_x96.jpg,https://twitter.com/Raymond_Norman/status/1681420673640546304,tweet_id:1681420673640546304
Faye Dem Force,@FayeCook19,2023-07-18T21:40:47.000Z,True,"Northwestern football hazing rituals included 'Shrek claps' and naked human 'carwashes,' ex-player alleges in lawsuit//",1,1,1,166,[],[],[],https://pbs.twimg.com/profile_images/1578674819024945152/lpX_uT2x_x96.jpg,https://twitter.com/FayeCook19/status/1681418764569706496,tweet_id:1681418764569706496
